brush_teeth,climb_stairs,comb_hair,descend_stairs,drink_glass,eat_meat,eat_soup,getup_bed,liedown_bed,pour_water,sitdown_chair,standup_chair,use_telephone,walk
-0.06713,-0.2630298,-0.0970535,-0.29435998,0.13105093,0.42409787,-0.18794656,-0.12475255,-0.35752463,0.10153902,-0.287529,0.34898162,-0.343535,-0.014619
0.36345997,0.17941606,0.08292001,-0.17276655,0.3402663,0.77789253,0.15045692,0.049646195,0.26378983,-0.39946833,0.17362949,-0.16689685,0.12166,-0.17277
-0.49255165,0.040807802,-0.35053998,0.02736162,-0.02734182,0.15088129,0.3630779,-0.18185179,-0.43175682,0.05771371,-0.12557523,0.14332858,0.127372,-0.11171
-0.45115665,-0.025251605,-0.00598,-0.09542465,-0.4806384,-0.0073391944,0.0740124,0.039144605,0.47877717,-0.60522664,-0.2482953,0.38949573,0.30364,0.31864
0.39665303,-0.31074783,0.13036,-0.15069121,-0.21114095,0.09026358,0.185889,-0.17201978,-0.15960716,-0.3591723,-0.3658215,0.059904903,-0.047647998,-0.52504
-0.068027,0.2680425,-0.108198,0.30577475,0.3183114,-0.101494804,0.1520178,-0.24483362,-0.08638673,-0.006144598,-0.047057994,0.46062058,0.102575,0.085454
-0.04351334,-0.032858104,-0.015835002,0.11772749,0.4749723,0.07135524,0.346995,0.351978,-0.23887183,0.4284357,-0.2960331,-0.11591184,-0.453535,0.020362
0.13472666,-0.19016251,0.171195,0.42254853,0.21586555,0.45518553,0.27322352,-0.2574495,-0.19285208,-0.08896207,-1.0295703,-0.23757215,-0.34049898,-0.53312
0.5647067,0.066273905,0.57232,0.31313702,0.61508703,0.070959896,-0.15177691,-0.17414433,0.6140476,0.0965883,0.21633942,-0.19385059,0.3272,0.72145
-0.77036,-0.57608104,-1.122215,-0.19808581,-1.091805,-1.0371636,-0.5361048,0.041712016,-2.3176165,-1.0615176,0.2070024,-0.04820639,-1.6649001,-0.69884
-0.42652336,-0.34971422,-0.226704,-0.518595,0.2157408,-0.14869142,0.01789128,0.013493694,-0.83514756,0.175989,-0.4635048,-0.3144966,-0.1276805,0.14377
0.63417,-0.12350911,0.117759004,-0.15542011,-0.87558573,-0.9590988,-0.36832622,0.043938845,-0.2327477,-0.2796519,0.069711186,-0.032194797,0.035945,-0.82792
0.29569665,0.65740955,-0.10006049,0.30831572,-0.5257758,-0.15437731,-0.33207572,0.46918413,-0.2224431,-0.48966724,-0.11158225,0.17395356,0.20755349,-1.0451
0.103866994,-0.31620932,0.179718,-0.5656893,-0.11141691,0.5124966,0.3473316,0.2522091,0.1661187,-0.2837099,0.26907542,-0.072592735,0.09917,-0.25315
-0.013022333,-0.1762332,-0.0018690005,0.053856,0.2857371,-0.27961525,-0.21470428,-0.0415899,0.06284455,0.114693485,-0.024459615,0.2754246,0.63229,0.22406
-0.08357999,-0.27320272,0.14804,0.007735532,-0.39656597,-0.55084264,-0.55787164,0.16485481,0.36604258,-0.12770835,0.23738551,0.4775001,-0.0670605,-0.011736
0.45877004,-0.26699114,0.50759,-0.44595873,-0.4036824,-0.028871693,-0.042058498,0.23892659,-0.0031792186,-0.56635916,0.19783501,0.09342895,-0.052094996,-0.35411
0.12226299,0.044171687,-0.005097,0.13293906,0.1610994,0.13243262,0.31520644,0.5682039,0.29251534,0.6712662,-0.0056529045,0.23639353,-0.165827,-0.016574
0.051833004,0.261459,-0.26212502,0.4362402,-0.043433614,-0.3196248,-0.171072,0.111594126,0.4696263,0.32574928,-0.44724077,0.36895487,0.0055949986,0.49746
-0.0530071,-0.15900458,-0.306625,0.25030765,0.17050903,0.19664371,0.44262573,0.28124732,0.052988924,0.13391182,0.10577821,0.008177392,0.104404494,0.25978
0.19095899,-0.45505682,-0.19766499,-0.5716194,-0.6008805,-0.19101061,0.044629205,0.3240171,-0.06211589,-0.4542219,0.11896171,0.22781551,0.283685,0.0079651
0.3793173,0.0974424,0.108132,0.22863062,0.57701164,0.46790373,0.12226832,0.23104621,0.6732396,0.16278902,0.12415129,0.44937423,0.14983499,-0.33304
0.038441002,-0.0050981715,-0.224455,0.18894118,0.1565223,0.4909707,-0.2159751,-0.2504865,-0.043800905,0.0569184,-0.3181959,0.0212223,0.16961,-0.0074038
0.14978968,0.08122621,0.476995,-0.08281482,0.3841662,0.363858,0.34439462,-0.2970396,-0.2776884,0.3187338,-0.38755894,0.016056808,0.111319,0.1753
0.17663,0.17425486,-0.31836,0.20016646,-0.682109,-0.25738353,-0.07200271,-0.1693263,-0.6390153,-0.135266,0.34223643,0.043170597,-0.25317,0.082406
0.09952333,-0.23433302,-0.1649,-0.11618047,-0.55320215,0.1788336,-0.30294,-0.2557764,-0.2768225,-0.03477342,-0.37621653,0.5006595,-0.297585,-0.23182
-0.092715,0.22118911,-0.0014470015,0.3437181,-0.07813576,0.021374099,0.1711677,-0.1137972,0.059334014,0.59771746,0.16113901,0.3636864,0.1127855,0.21657
-0.21649568,0.17289692,-0.3344284,0.36087152,0.2345277,-0.4050123,-0.0038510934,-0.061624207,-0.2615943,0.9302502,-0.54055655,-0.5435199,-0.06258735,-0.027635
0.44956002,-0.13775851,0.168485,-0.4576671,-0.46029064,-0.13955042,0.09118362,0.042498723,0.2885349,-0.21222186,0.1572549,0.19655131,0.1075495,0.015998
0.20240833,0.4078074,0.704815,0.5092758,-0.3334452,-0.39059132,-0.5176941,-0.30493355,-0.08863437,-0.3110184,-0.3753816,0.053328015,-0.035414,0.41275
-0.29087332,0.25659484,0.0995825,0.4708572,-0.50255376,-0.5592708,-0.7211227,-0.040112823,-0.013232607,-0.3583899,-0.0011913031,-0.4016067,-0.325155,0.56302
0.067774,-0.026878498,-0.1326615,0.122149505,0.2272941,0.44548684,0.3557598,-0.23220782,0.40852022,0.3595185,-0.12987019,-0.4343526,-0.395815,0.19352
-0.40759766,-0.12810865,-0.523375,-0.15255505,-0.10385562,-0.6667419,-0.48188913,-0.16105914,-0.14064732,0.26198044,0.1944789,0.2905749,-0.36303002,0.022373
0.10994667,-0.54039484,0.017357001,-0.3134208,-0.26648292,-0.30476162,0.015265793,-0.0916938,-0.28357232,-0.17865673,0.19773272,0.13935901,-0.1870465,-0.65752
-0.16855,-0.5952177,-0.25344002,0.1603107,-0.6314698,-0.47006524,-0.3756588,0.19707932,-1.0485942,-0.12113136,-0.018262178,-0.34880605,-1.0994899,-1.0445
0.07202001,0.03289374,0.118099995,-0.37146387,0.328845,0.299739,0.4743024,-0.18670408,0.08572081,-0.0019885786,0.33182824,0.1327953,0.1328395,0.42346
-0.10415999,-0.26998293,0.218173,-0.24956252,-0.012422521,0.26902592,-0.16596031,-0.4479618,-0.24113959,-0.044371795,-0.010827303,-0.23096374,-0.30353498,-0.35766
-0.09911334,-0.4730286,-0.122261,-0.47671145,0.052869305,0.13964742,0.0040887,-0.481179,-0.15955435,0.2048739,-0.23997271,0.1344915,-0.037065,0.071326
-0.235717,0.40873143,-0.313165,0.2526546,-0.31822562,-0.6477207,-0.5493807,0.021928504,-0.32339078,-0.13541353,0.0923274,0.1293996,-0.0337125,-0.25268
0.25050333,-0.30107552,0.087229,-0.3071145,-0.0003960058,-0.032213874,0.10700257,-0.1282743,0.24702811,0.0962606,0.06945048,0.4830606,-0.12885301,-0.31929
0.18080331,-0.5582577,-0.119737,-0.5294817,-0.33430982,-0.27890942,-0.11965801,-0.17193002,-0.27365518,-0.2254956,-0.27834842,0.240801,-0.1886005,-0.29691
0.10562699,0.28543353,-0.16864999,0.27345452,-0.094582565,-0.2921259,-0.12092586,-0.19641599,-0.3668544,-0.18248138,0.36786753,-0.023222096,0.228668,0.16624
0.207289,0.041448,0.075349994,-0.20217781,0.12434597,-0.057727564,0.039012603,0.2726658,-0.337227,0.2421177,-0.26692316,0.021912009,-0.1022625,-0.18036
-0.51919997,-0.2124804,-0.4134065,0.010923006,-0.09928051,-0.34965646,-0.11815486,-0.43885052,0.3160113,0.1452033,-0.5342865,-0.22330111,0.31071666,0.40646
0.15064,-0.1892517,0.2625045,0.045998693,-0.04292178,-0.2575452,-0.05324418,-0.16294083,0.16822079,0.086054765,-0.1406691,0.1837473,0.056934997,-0.18636
0.151226,0.4917957,-0.1797655,0.1998579,-0.29169196,0.0201003,-0.0256872,0.10885645,0.10275539,-0.16618636,0.3974309,0.3468749,0.10226001,0.39478
0.049396675,0.3751011,-0.039199993,0.5922015,0.331056,0.0088407025,0.6198753,-0.15078688,0.57023144,0.32474643,-0.06549246,-0.13332331,0.02456505,0.6739
0.33263335,0.32997033,0.035370007,0.3132129,-0.2040885,-0.4749129,0.037920296,-0.3856456,0.166187,0.58059216,-0.2898621,-0.3647721,-0.091635495,-0.24706
0.17214012,-0.036098696,0.151954,-0.11596728,-0.0012180284,-0.010922339,-0.5783349,-0.026089802,0.08701797,-0.14325398,-0.093660615,0.1662078,-0.015209995,0.11945
0.16926666,-0.22579326,-0.39339998,-0.319374,0.41485623,0.2914428,0.4650888,-0.29381683,-0.38928586,0.530409,-0.34548032,0.3990261,-0.048635,-0.1422
-0.32429075,-0.5797638,-0.09633501,-0.38996762,-0.26169002,-0.02223276,0.2081937,-0.4188393,0.03751771,-0.17545441,-0.22062151,-0.1693613,0.517835,-0.32764
-0.11416667,0.060638823,-0.264645,-0.25563452,0.1372503,0.36806452,0.12974511,0.22734031,0.047153704,0.4207203,0.16652131,0.1607067,0.1239035,-0.25158
0.24065334,0.064641066,0.3845905,0.110644385,-0.023491383,0.10801956,0.4830342,0.36276573,0.1392501,-0.17101592,0.06446913,0.61736035,-0.22043,0.17086
0.109458,-0.154638,-0.1573225,-0.21652621,-0.2856579,-0.20418884,0.04710421,0.31123358,-0.43508783,-0.3313761,0.0756261,0.22501051,0.032765,0.032017
0.20281135,-0.04228389,-0.085685,-0.38765135,-0.2592965,-0.060205862,-0.4802523,-0.28602752,-0.49297053,-0.072808236,0.6256536,-0.0950532,0.1926585,0.30932
-0.024048032,0.67857903,-0.208285,0.3377352,0.82495385,-0.023298003,0.12391038,-0.276045,-0.19940646,0.553707,0.017488685,0.3201726,0.330139,0.41316
-0.20645632,-0.2716758,-0.719445,0.09245083,0.36068672,-0.1695177,0.22320211,-0.22905634,-0.19482674,0.17241378,-0.1555092,-0.1008348,-0.347595,-3.2661e-06
0.10610667,-0.48875973,-0.044920005,-0.3068571,0.40810773,0.04207071,0.29525334,-0.49583495,-0.037162617,0.06817471,0.0754248,-0.39076623,0.352115,-0.48988
0.34004667,-0.2499618,0.0560975,-0.22517881,0.3989964,-0.5278482,0.13427702,-0.3345395,-0.02650824,0.3443154,-0.119655035,0.052591115,0.1420355,-0.20333
-0.034271,0.4988346,-0.408225,0.5304024,0.39698014,-0.0704319,0.03455628,-0.1125927,0.38118893,0.44648013,0.08588779,-0.14984311,-0.16272,0.70654
